District_name,Total_cases
Dhaka,29732
Chittagong,13503
Narayanganj,5795
Bogra,4311
Comilla,4167
Gazipur,4039
Sylhet,3787
Khulna,3737
Faridpur,3593
Cox's Bazar,3158
Noakhali,2839
Munshiganj,2503
Rajshahi,2429
Mymensingh,2052
Kishoreganj,1879
Narsingdi,1790
Barisal,1686
Chandpur,1570
Brahmanbaria,1509
Jessore,1426
Sunamganj,1278
Tangail,1271
Lakshmipur,1256
Kushtia,1235
Sirajganj,1180
Gopalganj,1158
Habiganj,1055
Madaripur,1039
Feni,1029
Rangpur,983
Patuakhali,893
Naogaon,844
Shariatpur,843
Manikganj,840
Meherpur,839
Rajbari,814
Jamalpur,768
Pabna,724
Dinajpur,675
Jhenaidah,664
Joypurhat,656
Netrakona,600
Satkhira,547
Narail,524
Barguna,511
Rangamati,511
Bandarban,507
Bhola,471
Chuadanga,446
Bagerhat,433
Khagrachhari,414
Natore,387
Nilphamari,353
Magura,334
Nawabganj,318
Gaibandha,288
Sherpur,267
Jhalokati,242
Pirojpur,218
Thakurgaon,206
Kurigram,149
Panchagarh,146
Maulvibazar,137
Lalmonirhat,126
