District_name,Total_cases,Population,Ratio
Bagerhat,433,1601000,0.000270456
Bandarban,507,434000,0.001168203
Barguna,511,969000,0.000527348
Barisal,1686,2583000,0.000652729
Bhola,471,1941000,0.000242658
Bogra,4311,3724000,0.001157626
Brahmanbaria,1509,3255000,0.000463594
Chandpur,1570,2707000,0.000579978
Chittagong,13503,8440000,0.001599882
Chuadanga,446,1237000,0.00036055
Comilla,4167,6046000,0.000689216
Cox's Bazar,3158,2655000,0.001189454
Dhaka,29732,13142000,0.002262365
Dinajpur,675,3268000,0.000206548
Faridpur,3593,2088000,0.001720785
Feni,1029,1619000,0.000635578
Gaibandha,288,2718000,0.00010596
Gazipur,4039,3809000,0.001060383
Gopalganj,1158,1277000,0.000906813
Habiganj,1055,2386000,0.000442163
Jamalpur,768,998000,0.000769539
Jessore,1426,2541000,0.000561196
Jhalokati,242,3029000,7.98944E-05
Jhenaidah,664,741000,0.000896086
Joypurhat,656,1976000,0.000331984
Khagrachhari,414,685000,0.00060438
Khulna,3737,2528000,0.001478244
Kishoreganj,1879,3311000,0.000567502
Kurigram,149,2301000,6.47545E-05
Kushtia,1235,2170000,0.000569124
Lakshmipur,1256,1995000,0.000629574
Lalmonirhat,126,1398000,9.01288E-05
Madaripur,1039,1295000,0.000802317
Magura,334,1020000,0.000327451
Manikganj,840,1542000,0.000544747
Maulvibazar,137,2148000,6.37803E-05
Meherpur,839,716000,0.001171788
Munshiganj,2503,1583000,0.001581175
Mymensingh,2052,5807000,0.000353367
Naogaon,844,2844000,0.000296765
Narail,524,801000,0.000654182
Narayanganj,5795,3284000,0.001764616
Narsingdi,1790,2489000,0.000719164
Natore,387,1866000,0.000207395
Nawabganj,318,1854000,0.000171521
Netrakona,600,2516000,0.000238474
Nilphamari,353,2049000,0.000172279
Noakhali,2839,3491000,0.000813234
Pabna,724,2818000,0.00025692
Panchagarh,146,1104000,0.000132246
Patuakhali,893,1703000,0.000524369
Pirojpur,218,1208000,0.000180464
Rajbari,814,1144000,0.000711538
Rajshahi,2429,2853000,0.000851385
Rangamati,511,653000,0.000782542
Rangpur,983,3211000,0.000306135
Satkhira,547,2174000,0.00025161
Shariatpur,843,1284000,0.000656542
Sherpur,267,1504000,0.000177527
Sirajganj,1180,3455000,0.000341534
Sunamganj,1278,2800000,0.000456429
Sylhet,3787,3957000,0.000957038
Tangail,1271,3923000,0.000323987
Thakurgaon,206,1553000,0.000132646
